district_names,total_treatment_alb_mbd,total_target_alb,total_target_mbd,lf_alb_total_procured,sac_alb_total_procured,sth_mbd_total_procured,pzq_total_treatment,pzq_total_procured,ivm_total_treatment,ivm_total_procured
Abeibara,5823,1941,0,11078,0,0,0.0,0.0,11022,30923.6
Achourat,14026,4675,0,26682,0,0,3085.83,7722.575,26549,74486.2
Al-Ourch,23487,7829,0,44681,0,0,5167.14,12930.85,44458,124731.4
Almoustrat,5022,1674,0,9554,0,0,1104.8400000000001,0.0,9506,26670.8
Anderamboukane,6642,2214,0,12636,0,0,1461.24,3657.1,12573,35275.399999999994
Ansongo,74534,24845,0,141787,0,0,16397.37,41034.424999999996,141081,395817.8
Araouane,11535,3845,0,21943,0,0,2537.7000000000003,6351.250000000001,21833,61255.399999999994
Bafoulabe,0,0,0,0,0,0,15974.970000000001,39977.425,137446,385618.8
Banamba ,0,0,0,0,0,0,23697.960000000003,59304.90000000001,0,0.0
Bandiagara,0,0,0,0,0,0,39516.18,98889.45,0,0.0
Bankass,148821,148821,0,0,99711,0,32740.620000000003,81933.55,0,0.0
Barouéli,0,0,0,0,0,0,25338.06,63409.15,0,0.0
Bla,160501,160501,0,0,107537,0,35310.33,88364.82500000001,0,0.0
Bougouni,0,0,0,0,0,0,57523.29,143952.225,0,0.0
Boujbeha,12753,4251,0,24261,0,0,2805.6600000000003,7022.150000000001,24140,67728.0
Bourem,60351,20117,0,114808,0,0,13277.220000000001,33227.05,114236,320500.8
Commune 1,0,0,0,0,0,0,41742.36,104460.9,0,0.0
Commune 2,0,0,0,0,0,0,19888.11,49770.275,0,0.0
Commune 3,0,0,0,0,0,0,16038.66,40137.65,0,0.0
Commune 4,0,0,0,0,0,0,37346.43,93460.075,0,0.0
Commune 5,0,0,0,0,0,0,51606.72,129146.8,0,0.0
Commune 6,0,0,0,0,0,0,58526.490000000005,146463.225,0,0.0
Diema,0,0,0,0,0,0,26330.370000000003,65891.925,0,0.0
Dioila,150195,150195,0,0,100631,0,0.0,0.0,284298,797627.3999999999
Diré,62318,20773,0,118548,0,0,13709.85,34309.625,117958,330943.39999999997
Djenne,0,0,0,0,0,0,25757.82,64459.55,0,0.0
Douentza,139980,46660,0,266286,0,0,30795.600000000002,77066.0,264961,743374.7999999999
Fana,0,0,0,0,0,0,28147.68,70440.2,242180,679461.0
Foum-Elba,6795,2265,0,12927,0,0,1494.9,3741.25,12862,36086.6
Gao,135222,45074,0,257236,0,0,29748.84,74447.1,255956,718110.7999999999
Goundam,84680,28227,0,161088,0,0,18629.49,46620.725000000006,160286,449698.8
Gourma-Rharous,62755,20918,0,119381,0,0,13806.210000000001,34550.525,118787,333269.6
Inekar,2530,843,0,4813,0,0,556.71,1393.775,4789,13436.199999999999
Kadiolo,0,0,0,0,0,0,30008.22,75096.55,0,0.0
Kalaban Coro,0,0,0,0,0,0,36267.0,90758.5,312038,875454.3999999999
Kangaba,0,0,0,0,0,0,12546.6,31398.5,107950,302865.0
Kati,259270,259270,0,0,173712,0,57039.51,142741.775,490762,1376882.5999999999
Kayes,0,0,0,0,0,0,63740.82,159512.05,548420,1538648.0
Kenieba,0,0,0,0,0,0,24106.83,60328.075000000004,207412,581915.6
Kidal,18731,6244,0,35633,0,0,0.0,0.0,35455,99473.0
Kignan,0,0,0,0,0,0,0.0,0.0,125025,350771.0
Kita,0,0,0,0,0,0,0.0,0.0,369180,1035771.9999999999
Kolokani,132453,132453,0,0,88744,0,29139.66,72922.15,250714,703403.2
Kolondieba,0,0,0,0,0,0,0.0,0.0,218235,612281.0
Koro,204462,204462,0,0,136990,0,0.0,0.0,0,0.0
Koulikoro,0,0,0,0,0,0,26297.370000000003,65809.425,226260,634796.0
Koutiala,327331,327331,0,0,219313,0,0.0,0.0,0,0.0
