"WHO_region","Country","ISO2","Country_ID","ADMIN1_NAME","ADMIN1_ID","IU_Name","District_ID","IU_ID","Endemicity","MDA_start_APOC","LF_MDA_duration","start_year","end_year","Period","PopReq","PopTreat","Cov","MDA","EffMDA","MDA_n","EffMDA_n","MDA_left","Mapping_gap","Composite_IU_ID"
"AFRO","Nigeria","NG",34,"Adamawa",455,"Toungo",1621,36372,"Endemic",2015,1,2017,2017,"Annual",0,0,0,0,0,0,0,4,0,"ANGA0377636372"
"AFRO","Nigeria","NG",34,"Benue",460,"Katsina Ala",1712,36463,"Endemic",2014,3,2017,2017,"Annual",235879,236282,100.1708503,1,1,1,1,1,0,"ANGA0378136463"
"AFRO","Nigeria","NG",34,"Katsina",474,"Batagarawa",2000,36751,"Endemic",2015,2,2017,2017,"Annual",193743,168228,86.83049194,1,1,1,1,4,0,"ANGA0379536751"
"AFRO","Nigeria","NG",34,"Katsina",474,"Batsari",2001,36752,"Endemic",2015,2,2017,2017,"Annual",219357,215541,98.26037008,1,1,1,1,3,0,"ANGA0379536752"
"AFRO","Nigeria","NG",34,"Katsina",474,"Baure",2002,36753,"Endemic",2015,2,2017,2017,"Annual",207231,211576,102.096694,1,1,1,1,2,0,"ANGA0379536753"
"AFRO","Nigeria","NG",34,"Katsina",474,"Bindawa",2003,36754,"Endemic",2015,2,2017,2017,"Annual",159923,147214,92.05305053,1,1,1,1,4,0,"ANGA0379536754"
"AFRO","Nigeria","NG",34,"Katsina",474,"Charanchi",2004,36755,"Endemic",2015,2,2017,2017,"Annual",144448,142665,98.76564577,1,1,1,1,3,0,"ANGA0379536755"
"AFRO","Nigeria","NG",34,"Katsina",474,"Dandume",2006,36757,"Endemic",2015,2,2017,2017,"Annual",152977,124799,81.58023755,1,1,1,1,3,0,"ANGA0379536757"
"AFRO","Nigeria","NG",34,"Katsina",474,"Danja",2007,36758,"Non-endemic",null,null,2017,2017,"Annual",0,0,0,999,999,999,999,999,0,"ANGA0379536758"
"AFRO","Nigeria","NG",34,"Katsina",474,"Dan Musa",2005,36756,"Endemic",2015,2,2017,2017,"Annual",119337,127604,106.9274408,1,1,1,1,3,0,"ANGA0379536756"
"AFRO","Nigeria","NG",34,"Katsina",474,"Kurfi",2020,36771,"Endemic",2015,2,2017,2017,"Annual",123421,114209,92.53611622,1,1,1,1,3,0,"ANGA0379536771"
"AFRO","Nigeria","NG",34,"Katsina",474,"Kusada",2021,36772,"Endemic",2015,2,2017,2017,"Annual",104197,108567,104.1939787,1,1,1,1,3,0,"ANGA0379536772"
"AFRO","Nigeria","NG",34,"Katsina",474,"Sandamu",2031,36782,"Endemic",2015,2,2017,2017,"Annual",144106,126724,87.93804561,1,1,1,1,3,0,"ANGA0379536782"
"AFRO","Nigeria","NG",34,"Katsina",474,"Mai'Adua",2022,36773,"Endemic",2015,2,2017,2017,"Annual",211171,194922,92.30528813,1,1,1,1,3,0,"ANGA0379536773"
"AFRO","Nigeria","NG",34,"Katsina",474,"Malunfashi",2023,36774,"Endemic",2015,2,2017,2017,"Annual",192006,163579,85.1947335,1,1,1,1,3,0,"ANGA0379536774"
"AFRO","Nigeria","NG",34,"Katsina",474,"Mani",2024,36775,"Endemic",2015,2,2017,2017,"Annual",185756,199540,107.4204871,1,1,1,1,3,0,"ANGA0379536775"
"AFRO","Nigeria","NG",34,"Kebbi",475,"Arewa",2034,36785,"Endemic",2015,2,2017,2017,"Annual",193171,193000,99.9114774,1,1,1,1,2,0,"ANGA0379636785"
"AFRO","Nigeria","NG",34,"Kebbi",475,"Bagudo",2037,36788,"Endemic",2015,2,2017,2017,"Annual",249629,237878,95.29261424,1,1,1,1,2,0,"ANGA0379636788"
"AFRO","Nigeria","NG",34,"Katsina",474,"Mashi",2025,36776,"Endemic",2015,2,2017,2017,"Annual",181734,151269,83.23648849,1,1,1,1,3,0,"ANGA0379536776"
"AFRO","Nigeria","NG",34,"Katsina",474,"Matazu",2026,36777,"Endemic",2015,2,2017,2017,"Annual",121052,110023,90.88903942,1,1,1,1,3,0,"ANGA0379536777"
