"WHO_region","Country","ISO2","Country_ID","ADMIN1_NAME","ADMIN1_ID","IU_Name","District_ID","IU_ID","Endemicity","MDA_status","MDA_start_APOC","IVM_APOC_duration","start_year","end_year","Period","PopReq","PopTreat","Cov","MDA","EffMDA","MDA_n","EffMDA_n","Composite_IU_ID"
"AFRO","Nigeria","NG",34,"Adamawa",455,"Toungo",1621,36372,"Endemic (under MDA)","Under PC (Endemic)","2003",17,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0377636372"
"AFRO","Nigeria","NG",34,"Benue",460,"Katsina Ala",1712,36463,"Endemic (under MDA)","Under PC (Endemic)","1999",16,2017,2017,"Annual",235879,236282,100.170850308845,1,1,1,1,"ANGA0378136463"
"AFRO","Nigeria","NG",34,"Katsina",474,"Batagarawa",2000,36751,"Unknown (under LF MDA)","PC Not yet required",null,2,2017,2017,"Annual",193743,168228,86.830491940354,1,1,1,1,"ANGA0379536751"
"AFRO","Nigeria","NG",34,"Katsina",474,"Batsari",2001,36752,"Unknown (under LF MDA)","PC Not yet required",null,2,2017,2017,"Annual",219357,215541,98.2603700816477,1,1,1,1,"ANGA0379536752"
"AFRO","Nigeria","NG",34,"Katsina",474,"Baure",2002,36753,"Unknown (under LF MDA)","PC Not yet required",null,2,2017,2017,"Annual",207231,211576,102.096694027438,1,1,1,1,"ANGA0379536753"
"AFRO","Nigeria","NG",34,"Katsina",474,"Bindawa",2003,36754,"Unknown (under LF MDA)","PC Not yet required",null,2,2017,2017,"Annual",159923,147214,92.0530505305678,1,1,1,1,"ANGA0379536754"
"AFRO","Nigeria","NG",34,"Katsina",474,"Charanchi",2004,36755,"Unknown (under LF MDA)","PC Not yet required",null,2,2017,2017,"Annual",144448,142665,98.7656457687195,1,1,1,1,"ANGA0379536755"
"AFRO","Nigeria","NG",34,"Katsina",474,"Dandume",2006,36757,"Unknown (under LF MDA)","PC Not yet required",null,2,2017,2017,"Annual",152977,124799,81.5802375520503,1,1,1,1,"ANGA0379536757"
"AFRO","Nigeria","NG",34,"Katsina",474,"Danja",2007,36758,"Consider Oncho Elimination Mapping","PC Not yet required",null,0,2017,2017,"Annual",0,0,0,0,0,0,0,"ANGA0379536758"
"AFRO","Nigeria","NG",34,"Katsina",474,"Dan Musa",2005,36756,"Unknown (under LF MDA)","PC Not yet required",null,2,2017,2017,"Annual",119337,127604,106.927440776959,1,1,1,1,"ANGA0379536756"
"AFRO","Nigeria","NG",34,"Katsina",474,"Kurfi",2020,36771,"Unknown (under LF MDA)","PC Not yet required",null,2,2017,2017,"Annual",123421,114209,92.5361162200922,1,1,1,1,"ANGA0379536771"
"AFRO","Nigeria","NG",34,"Katsina",474,"Kusada",2021,36772,"Unknown (under LF MDA)","PC Not yet required",null,2,2017,2017,"Annual",104197,108567,104.193978713399,1,1,1,1,"ANGA0379536772"
"AFRO","Nigeria","NG",34,"Katsina",474,"Sandamu",2031,36782,"Unknown (under LF MDA)","PC Not yet required",null,2,2017,2017,"Annual",144106,126724,87.9380456053183,1,1,1,1,"ANGA0379536782"
"AFRO","Nigeria","NG",34,"Katsina",474,"Mai'Adua",2022,36773,"Unknown (under LF MDA)","PC Not yet required",null,2,2017,2017,"Annual",211171,194922,92.3052881314196,1,1,1,1,"ANGA0379536773"
"AFRO","Nigeria","NG",34,"Katsina",474,"Malunfashi",2023,36774,"Unknown (under LF MDA)","PC Not yet required",null,2,2017,2017,"Annual",192006,163579,85.1947334979115,1,1,1,1,"ANGA0379536774"
