district_names,total_treatment_alb_mbd,total_target_alb,total_target_mbd,lf_alb_total_procured,sac_alb_total_procured,sth_mbd_total_procured,pzq_total_treatment,pzq_total_procured,ivm_total_treatment,ivm_total_procured
AMAC,209417.0,0.0,502601.0,0.0,0.0,295139.0,255489.0,366847.0,110952.93486127794,311290.21761157823
Aba North,28912.0,0.0,28912.0,116227.0,0.0,0.0,13357.41,0.0,159677.7716315625,447992.7605683749
Aba South,114007.0,0.0,114007.0,458308.0,0.0,0.0,0.0,0.0,629647.9371921874,1766541.2241381248
Abaji,15720.0,0.0,0.0,63195.0,0.0,0.0,19178.4,27538.0,125760.0,176417.0
Abak,37412.0,0.0,179578.0,0.0,0.0,105453.0,0.0,0.0,0.0,0.0
Abakaliki,40810.0,0.0,97944.0,328113.0,0.0,57515.0,49788.2,71489.5,0.0,0.0
Abeokuta North,54153.0,0.0,54153.0,217696.0,0.0,0.0,216612.0,189725.0,295748.31985531247,607727.6
Abeokuta South,67319.0,0.0,67319.0,270624.0,0.0,0.0,82129.5,117926.75,361572.53561218746,755483.6
Abi,38949.0,0.0,0.0,156573.0,0.0,0.0,0.0,0.0,155794.0,437096.19999999995
Abo-Mbaise,52626.0,0.0,52626.0,211557.0,0.0,0.0,0.0,0.0,281497.71292374993,789770.5961864998
Abua/Odual,76117.0,0.0,365362.0,0.0,0.0,214549.0,0.0,0.0,0.0,0.0
Adadara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adavi,54386.0,0.0,130526.0,0.0,0.0,76648.0,25126.2,0.0,217543.0,610339.3999999999
Ado,48115.0,0.0,48115.0,193424.0,0.0,0.0,22229.13,0.0,321256.53722906247,539968.7999999999
Ado Ekiti,83009.0,0.0,83009.0,333697.0,0.0,0.0,101271.1,145412.25,429194.49368312495,931560.7999999999
Ado-Odo/Ota,141634.0,0.0,141634.0,569370.0,0.0,0.0,0.0,0.0,836156.1027646874,1589476.5999999999
Afijo,36090.0,0.0,173230.0,0.0,0.0,101724.0,0.0,0.0,54960.16839968748,154196.47151912493
Afikpo North ,42125.0,0.0,42125.0,169343.0,0.0,0.0,19461.75,0.0,209086.75846312498,472744.0
Afikpo South,42249.0,0.0,101397.0,0.0,0.0,59543.0,0.0,0.0,0.0,0.0
Agaie,35749.0,0.0,35749.0,143711.0,0.0,0.0,43613.9,62624.25,226510.48330468746,401189.79999999993
Agatu,31073.0,0.0,74575.0,0.0,0.0,43793.0,14355.66,0.0,98562.54367999997,276527.1223039999
Agege,123713.0,0.0,0.0,0.0,0.0,0.0,57155.670000000006,143032.17500000002,0.0,0.0
Aguata,99568.0,0.0,99568.0,400264.0,0.0,0.0,0.0,0.0,453546.5343109375,1272470.2960706248
Agwara,15443.0,0.0,15443.0,62080.0,0.0,0.0,18840.2,27053.0,123542.0,173304.8
Ahiazu-Mbaise,45969.0,0.0,0.0,184795.0,0.0,0.0,0.0,0.0,367750.0,1031759.9999999999
Ahoada East,44851.0,0.0,152494.0,180303.0,0.0,63211.0,0.0,0.0,179405.0,503338.99999999994
Ahoada West,67090.0,0.0,161016.0,0.0,0.0,94553.0,0.0,0.0,0.0,0.0
Aijedaade,40452.0,0.0,40452.0,162618.0,0.0,0.0,18688.89,0.0,212948.97579812497,453969.4
Aijedire,20401.0,0.0,20401.0,82012.0,0.0,0.0,9425.130000000001,0.0,143081.8458065625,228945.4
Aiyekiri (Gbonyin,39859.0,0.0,0.0,160235.0,0.0,0.0,48628.3,69823.75,240847.17440999998,447316.6
Ajaokuta,32902.0,0.0,32902.0,132265.0,0.0,0.0,0.0,0.0,190126.6272596875,369233.79999999993
Ajeromi-Ifeledun,184009.0,0.0,441622.0,0.0,0.0,259331.0,0.0,0.0,0.0,0.0
Ajingi,46839.0,0.0,0.0,188293.0,0.0,0.0,21639.75,0.0,227409.39607437496,525646.8
Akamkpa,40649.0,0.0,40649.0,163410.0,0.0,0.0,0.0,0.0,294543.2607440625,826371.1300833749
Akinyele,56851.0,0.0,272884.0,0.0,0.0,160244.0,26265.030000000002,0.0,15097.511192812493,42358.03133987498
Akko,90875.0,0.0,0.0,0.0,0.0,0.0,41984.25,105065.625,228779.79191218744,641865.4173541248
Akoko north East,47181.0,0.0,0.0,189669.0,0.0,0.0,0.0,0.0,286380.6510090624,529487.0
Akoko north West,57505.0,0.0,0.0,231172.0,0.0,0.0,0.0,0.0,323934.28378468746,645347.8
Akoko south East,22171.0,0.0,0.0,89127.0,0.0,0.0,0.0,0.0,177366.0,248809.4
Akoko south West,61727.0,0.0,61727.0,248141.0,0.0,0.0,28517.61,0.0,340343.31966624997,692719.7999999999
Akoko-Edo,70502.0,0.0,239706.0,283418.0,0.0,99361.0,86012.0,123501.5,391620.03529062495,1098730.0988137496
Akpabuyo,72999.0,0.0,175198.0,0.0,0.0,102881.0,0.0,0.0,56179.660881249976,315236.1009349998
Akuku Toro,41962.0,0.0,41962.0,168689.0,0.0,0.0,0.0,0.0,167849.0,470917.19999999995
