state,population
Kano,13076892
Lagos,12550598
Kaduna,8252366
Oyo,7840864
Katsina,7831319
Rivers,7303924
Bauchi,6537314
Borno,5860183
Jigawa,5828163
Benue,5741815
Delta,5663362
Niger,5556247
Anambra,5527809
Akwa Ibom,5482177
Imo,5408756
Ogun,5217716
Sokoto,4998090
Osun,4705589
Ondo,4671695
Zamfara,4515427
Kogi,4473490
Kebbi,4440050
Enugu,4411119
Adamawa,4248436
Edo,4235595
Plateau,4200442
Cross River,3866269
Abia,3727347
Abuja,3564126
Yobe,3294137
Ekiti,3270798
Gombe,3256962
Kwara,3192893
Taraba,3066834
Ebonyi,2880383
Nassarawa,2523295
Bayelsa,2277961
