,state_names,total_treatment_mbd_alb,total_target_alb,total_target_mbd,lf_alb_total_procured,sth_mbd_total_procured,schisto_pzq_total_treatment,schisto_pzq_total_procured,lf_ivm_total_treatment,lf_ivm_total_procured,oncho_ivm_total_treatment,oncho_ivm_total_procured,lf_prev,oncho_prev,sth_prev,schisto_prev,lf_mda,oncho_mda,sth_mda,schisto_mda,state,population,lf_yld,oncho_yld,schisto_yld,alb_ratio,mbd_ratio,pzq_ratio,oncho_ivm_ratio,lf_ivm_ratio
0,Abia,762282,0,990432,3049131,167548,95517.18000000001,0.0,3049131,8537566.799999999,1145295.945155312,3206828.646434874,17,17,36,5,17,34,19,0,Abia,3727347,14745.976007687665,34452.721728246965,38612.60158593653,0.0,0.16916658589383218,0.0,2.8,2.8
1,Adamawa,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,4597564.507474748,18,18,23,35,18,18,2,14,Adamawa,4248436,16807.486752963046,39269.266662928516,44010.70429754725,3.6177484820277637,0.0,1.1853430362873267,2.8,2.8
2,Akwa Ibom,1054449,0,3850694,1345455,2107742,6620.79,0.0,949701,2659162.8,428945.29763499997,1201046.833378,11,4,84,1,11,5,53,0,Akwa Ibom,5482177,21688.361859493398,50673.01720124146,56791.36295187563,0.0,0.5473667863507201,0.0,2.8000000000000003,2.8
3,Anambra,1124876,511086,613790,4499495,0,266114.97000000003,0.0,4499495,12598586.0,710919.9642353122,1990575.8998588743,21,16,33,11,21,32,12,0,Anambra,5527809,21868.889290178762,51094.80422506923,57264.077253916585,8.803792316752954,0.0,0.0,2.8000000000000003,2.8
4,Bauchi,1257843,1257843,0,2871021,0,1054755.27,1342308.75,2871021,8038858.8,1673446.722556055,4685650.823156954,11,12,20,27,11,12,0,11,Bauchi,6537314,25862.651209753392,60425.890074675925,67721.81418155195,2.282495510170983,0.0,1.2726257817133257,2.8,2.8
5,Bayelsa,458166,0,779244,1541891,291735,55943.25,0.0,1541891,4317294.8,0.0,0.0,7,0,15,2,7,0,7,0,Bayelsa,2277961,9011.975073007208,21055.715081209015,23598.017711069446,0.0,0.3743820934136163,0.0,0.0,2.8
6,Benue,1134881,0,1161743,3285875,301336,1179738.27,1563858.75,3285875,9200450.0,3055336.894180312,8554943.303704873,16,23,41,39,16,23,18,17,Benue,5741815,22715.53097433138,53072.91068153149,59481.02362757054,0.0,0.25938266897239753,1.325598049811506,2.8,2.8
7,Borno,361084,361084,0,1444337,0,681763.2,664057.5,1444337,4044143.6000000006,1240573.1488901526,3473604.8168924265,51,13,96,103,7,13,0,3,Borno,5860183,23183.813559257862,54167.01320687435,60707.22994120974,4.00000276943869,0.0,0.9740295457425687,2.7999999999999994,2.8000000000000003
8,Cross River,777068,0,948820,1586585,503221,272198.45,357268.75,1174786,4032426.5308871246,1347576.522401562,4964360.1425136225,10,15,28,11,10,32,10,5,Cross River,3866269,15295.573477131746,35736.809581599904,40051.73237722628,0.0,0.5303650850530132,1.312530435055747,3.6839170614715573,3.4324775158089427
9,Delta,1102375,0,3822032,2537224,1859506,352589.22000000003,187620.0,2537224,7104227.200000001,1859071.2920793747,5205399.6178222485,16,15,69,17,16,15,44,3,Delta,5663362,22405.15846119238,52347.75164006147,58668.30765768057,0.0,0.4865228757896323,0.5321206360194449,2.8,2.8000000000000003
10,Ebonyi,584623,0,1237777,1804517,617623,459699.4600000001,482802.5,852442,3120776.7431714996,1059525.8815218748,2966672.4682612494,9,11,27,19,9,11,14,7,Ebonyi,2880383,11395.252068281117,26624.03955676066,29838.67109606501,0.0,0.4989776025891578,1.0502568351940198,2.8,3.660984258367724
11,Edo,865659,0,2491768,1216965,1276057,355217.70000000007,286187.5,1216965,3407501.9999999995,2034174.8413865794,6816509.955882421,7,16,44,15,7,21,26,4,Edo,4235595,16756.685719972364,39150.57435987425,43877.680885193906,0.0,0.5121090727547669,0.8056679044991282,3.35099511467559,2.8
12,Ekiti,641141,0,723997,2564565,122715,466755.2400000001,430797.5,2213951,6588994.858691875,1182154.7749259372,3310033.3697926244,16,16,31,20,16,16,15,5,Ekiti,3270798,12939.795740507336,30232.734790537805,33883.08629222823,0.0,0.16949655868739788,0.9229623217513314,2.8000000000000003,2.976124972364734
13,Enugu,876140,116634,759506,2947635,198406,466663.26000000007,191568.75,2947635,8253377.999999999,1304478.657298437,5211938.640435625,14,15,28,19,14,30,11,3,Enugu,4411119,17451.08650765684,40772.982879560994,45695.981751941734,25.27251916250836,0.26123032602770746,0.41050746099017943,3.9954188681242977,2.8
14,Federal Capital Territory,377968,0,545038,581848,293184,532767.76,699342.4,581848,1629174.4,469682.5083325152,1315111.0233310426,4,6,8,12,4,6,2,6,Federal Capital Territory,3564126,14100.247839649972,32944.03265443489,36921.75084318085,0.0,0.5379147875927917,1.3126590092463553,2.8000000000000003,2.8
15,Gombe,633142,633142,0,2169064,0,502237.17000000004,895903.4249999999,2169064,6073379.199999999,1729197.4208240623,4841752.778307373,10,10,11,16,10,10,0,11,Gombe,3256962,12885.058329678033,30104.84547466997,33739.75540418829,3.425872868961465,0.0,1.7838254086211895,2.799999999999999,2.8
16,Imo,1058401,0,1252877,4233600,167779,127506.06000000001,318765.14999999997,4233600,11854080.0,1308923.4845399996,3664985.756711999,27,22,55,8,27,44,28,8,Imo,5408756,21397.89673658951,49994.370087889896,56030.77483892531,0.0,0.13391498127908805,2.4999999999999996,2.8,2.8
17,Jigawa,1169688,1169688,0,4678758,0,973731.7000000002,1086278.75,4678758,13100522.399999999,603231.0955756248,1689047.0676117497,27,17,26,38,27,17,0,13,Jigawa,5828163,23057.13735986828,53871.045015627744,60375.52605027024,4.000005129573014,0.0,1.1155832248246615,2.8000000000000003,2.8
18,Kaduna,1631769,345762,1286007,5239951,232760,1455137.1500000001,1619002.5,5239951,14671862.799999999,2288174.8980099997,6406889.714427998,18,16,37,37,18,16,14,14,Kaduna,8252366,32647.668983504198,76278.50838616487,85488.50442401222,15.154791446139251,0.18099434917539328,1.1126116187742165,2.8,2.8
19,Kano,2524000,1746624,777376,10096005,0,2013838.6199999994,1957207.5,10096005,28268813.999999993,1023116.2208674997,2864725.418428999,44,18,61,69,44,18,17,25,Kano,13076892,51734.259162649134,120872.70681971357,135467.08175501792,5.780296732439266,0.0,0.9718790177933923,2.8,2.7999999999999994
20,Katsina,1558072,1332898,225174,5475366,47336,1268644.1100000003,1465557.5,5475366,15331024.799999999,0.0,0.0,30,0,38,48,30,0,4,18,Katsina,7831319,30981.940260069307,72386.67456293532,81126.7640065105,4.107865718156979,0.21021965235773224,1.1552156262326396,0.0,2.8
21,Kebbi,871118,768345,102773,3413494,0,1235280.5500000003,1426153.75,3413494,9557783.2,506139.97455531236,1417191.9287548745,20,9,23,39,20,9,2,16,Kebbi,4440050,17565.542133032854,41040.39873655523,45995.68585152858,4.442657920595566,0.0,1.1545180971237665,2.8,2.8
22,Kogi,881840,0,1280967,2074504,516030,221467.84999999998,206777.5,1902195,5730317.421590999,2470033.7117899996,6916094.393012,11,21,39,10,11,21,18,3,Kogi,4473490,17697.836077679563,41349.49231292271,46342.09990877458,0.0,0.4028441013702929,0.9336682502674768,2.8000000000000007,3.0124763347559
23,Kwara,637770,0,1073543,1403986,462938,520153.09,546347.5,1403986,3931160.7999999993,2224373.940202812,6228247.032567874,11,16,29,21,11,16,13,6,Kwara,3192893,12631.591202298549,29512.641038536964,33076.04720341993,0.0,0.4312244595698542,1.0503590394897009,2.8,2.7999999999999994
24,Lagos,2424442,0,3045945,3493789,1627242,486822.6000000001,1217056.5000000002,3493789,9782609.2,0.0,0.0,6,0,35,8,6,0,15,8,Lagos,12550598,49652.15661169534,116008.05087830377,130015.05903240344,0.0,0.5342322333463014,2.5,0.0,2.8
25,Nasarawa,501179,139007,362172,0,211267,526402.67,810313.6749999999,0,0.0,1184006.0,3315216.8,0,7,17,23,0,7,4,13,Nasarawa,2523295,9982.555294776215,23323.393414478694,26139.499359406494,0.0,0.5833333333333334,1.5393418787180542,2.8,0.0
26,Niger,1062532,0,1484879,3336640,448220,1508077.9,1911407.5,3336640,9342592.0,2089576.4287384371,5850814.000467622,19,21,50,50,19,21,25,23,Niger,5556247,21981.39452934931,51357.663170187,57558.67423238434,0.0,0.3018562455257297,1.2674461312641743,2.799999999999999,2.8
27,Ogun,1002774,0,1356327,2743759,508144,964551.08,918126.25,2473633,7415933.859448627,1795400.013970937,5027120.039118622,14,18,38,33,14,18,18,12,Ogun,5217716,20642.112191574342,48228.54362768528,54051.73950709886,0.0,0.37464711680885215,0.9518689772240989,2.7999999999999994,2.9979927739679355
28,Ondo,925558,0,1244720,3322211,363509,342403.85000000003,170368.75,3132499,9035838.470743874,1302051.8899312497,3645745.291807499,17,14,34,14,17,14,16,2,Ondo,4671695,18481.966499291433,43181.54650861396,48395.35942481657,0.0,0.2920407802558005,0.49756668915959906,2.8,2.8845463225188177
29,Osun,920854,0,1961396,3318199,707220,496795.31,229112.5,2996086,8930587.64285275,1528309.1930615618,4279265.740572372,27,28,70,31,27,28,40,4,Osun,4705589,18616.056539956968,43494.83651092852,48746.47659157183,0.0,0.36056971667118726,0.4611808835312878,2.8,2.9807514346559976
30,Oyo,1504014,0,4412777,1989015,2294283,693760.8000000002,261898.75,1918883,5498845.885040375,1259846.9977934372,3527571.593821624,10,28,78,32,10,28,45,4,Oyo,7840864,31019.701794209643,72474.90118334285,81225.6432581975,0.0,0.5199181830398409,0.3775058348641202,2.8,2.8656493830214638
31,Plateau,855003,855003,0,0,0,719290.0,748666.25,0,0.0,996009.0,2788825.2,0,6,17,26,0,6,0,9,Plateau,4200442,16617.614875589417,38825.64713230111,43513.52139493168,0.0,0.0,1.0408406206119925,2.8000000000000003,0.0
32,Rivers,1394758,0,3333820,3149559,1619214,0.0,0.0,2232095,6249865.999999999,0.0,0.0,13,0,53,0,13,0,30,0,Rivers,7303924,28895.481978461925,67511.84182644237,75663.33572537247,0.0,0.48569328877983814,0.0,0.0,2.7999999999999994
33,Sokoto,994410,787569,206841,3376672,0,1062223.78,1235176.25,3376672,9454681.600000001,196134.0,549175.2,20,1,28,39,20,1,5,15,Sokoto,4998090,19773.236895911123,46198.49022447706,51776.574024541726,4.287461796998104,0.0,1.1628211241891044,2.8,2.8000000000000003
34,Taraba,613402,148546,464856,1967497,170135,351953.2100000001,158291.25,1967497,5508991.6,1779925.0,4983789.999999999,13,13,24,18,13,16,8,2,Taraba,3066834,12132.881801335048,28347.448839275374,31770.167728468554,13.245035207949053,0.36599506083604383,0.44975083477715677,2.7999999999999994,2.8
35,Yobe,569081,569081,0,1434207,0,569652.9800000001,649103.75,1434207,4015779.6000000006,646274.7166968748,1809569.2067512497,11,12,15,26,11,12,0,9,Yobe,3294137,13032.128526814438,30448.46251119691,34124.861342529206,2.5202159270824365,0.0,1.1394722274603037,2.8000000000000003,2.8000000000000003
