,state_names,district_population,total_treatment_mbd_alb,total_target_alb,total_target_mbd,lf_alb_total_procured,sth_mbd_total_procured,schisto_pzq_total_treatment,schisto_pzq_total_procured,lf_ivm_total_treatment,lf_ivm_total_procured,oncho_ivm_total_treatment,oncho_ivm_total_procured,lf_prev,oncho_prev,sth_prev,schisto_prev,lf_mda,oncho_mda,sth_mda,schisto_mda,lf_yld,oncho_yld,schisto_yld,alb_ratio,mbd_ratio,pzq_ratio,oncho_ivm_ratio,lf_ivm_ratio,OnchoPopReq,OnchoPopTreat,SchPopReq,SchPopTreat,ADMIN1_NAME,LFPopReq,LFPopTreat,normalized_oncho_ivm_total_procured,normalized_OnchoPopTreat,normalized_schisto_pzq_total_procured,normalized_SchPopTreat,normalized_pzq_ratio,normalized_schisto_yld,normalized_oncho_ivm_ratio,normalized_oncho_yld,oncho_coverage,schisto_coverage,lf_coverage,Oncho Drug Procured / Treated,Schisto Drug Procured / Treated,LF Drug Procured / Treated,IVM Ratio * Oncho Coverage,PZQ Ratio * Schisto Coverage,Normalized Oncho Drug Procured / Treated,Normalized Schisto Drug Procured / Treated,Oncho Measure,Schisto Measure,Standardized Oncho Drug Procured / Treated,Standardized Schisto Drug Procured / Treated,Schisto Measure 2,Standardized LF Drug Procured / Treated,standardized_pzq_ratio,standardized_oncho_ivm_ratio
0,Abia,3811413.5830251817,762282,0,990432,3049131,167548,95517.18000000001,0.0,3049131,8537566.799999999,1145295.945155312,3206828.646434874,1.0,1.0,2.1176470588235294,0.29411764705882354,1.0,2.0,1.1176470588235294,0.0,15078.55674350013,35229.768390846926,39483.47019044167,inf,0.16916658589383218,0.0,2.8,2.8,2974763,2641782,0,0,Abia,2974763,2641782,0.9385097490379841,1.0541473333475802,0.0,0.0,0.0,0.7441917893118919,1.0,0.7441917893118917,88.806469624639,,88.806469624639,1.2138884459182755,,4.385940172201945,0.8880646962463901,,0.890302256002134,,1.3437396305119658,-1.0,-0.31170544137482115,,,-0.3030506536438403,-1.6577671337134319,0.0
1,Adamawa,4260743.628983517,852147,792834,59313,2868274,0,809107.55,959070.0,2868274,8031167.199999999,1641987.3240981246,4597564.507474748,0.8571428571428571,0.8571428571428571,1.0952380952380953,1.6666666666666667,0.8571428571428571,0.8571428571428571,0.09523809523809523,0.6666666666666666,16856.177683068872,39383.02888208871,44138.20237544488,3.6177484820277637,0.0,1.1853430362873267,2.8,2.8,2763239,2362532,0,0,Adamawa,2563225,2147084,1.3455221927411138,0.9427185164212359,1.3191367029439205,0.0,1.2063103920515794,0.8319250472250673,1.0,0.8319250472250671,85.49864850633622,,83.76494455227301,1.946032691821634,,5.076392539835423,0.8549864850633623,,1.4272788423091636,,1.2020313648874454,1.4500229270356693,0.3556747707064031,,,-0.11595200564649155,0.3420145872866411,0.0
2,Akwa Ibom,5272243.927920927,1054449,0,3850694,1345455,2107742,6620.79,0.0,949701,2659162.8,428945.29763499997,1201046.833378,0.3548387096774194,0.12903225806451613,2.7096774193548385,0.03225806451612903,0.3548387096774194,0.16129032258064516,1.7096774193548387,0.0,20857.83332115613,48732.55773341671,54616.60914782643,inf,0.5473667863507201,0.0,2.8000000000000003,2.8,1637789,1413876,248227,99896,Akwa Ibom,1119590,1034890,0.35149809561218287,0.5641773678086017,0.0,0.13559586861710732,0.0,1.0294240068520817,1.0000000000000002,1.0294240068520815,86.32833655617421,40.243809094095326,92.43473057101261,0.8494711229117687,0.0,3.8696072046304435,0.8632833655617423,0.0,0.6230276428448106,0.0,0.9714170189773812,-1.0,-0.6438871278047613,-0.6332714969725155,,-0.4429664605519992,-1.6577671337134319,1.9323488539423455e-15
3,Anambra,5624368.099440388,1124876,511086,613790,4499495,0,266114.97000000003,0.0,4499495,12598586.0,710919.9642353122,1990575.8998588743,1.0,0.7619047619047619,1.5714285714285714,0.5238095238095238,1.0,1.5238095238095237,0.5714285714285714,0.0,22250.89240156165,51987.32207142991,58264.35923494437,8.803792316752954,0.0,0.0,2.8000000000000003,2.8,4389749,3645687,233848,193974,Anambra,4389749,3645687,0.5825614942957793,1.454734428983898,0.0,0.26329455653013906,0.0,1.098177478905105,1.0000000000000002,1.0981774789051046,83.05001037644749,82.94875303616024,83.05001037644749,0.5460084477517885,0.0,4.689947601096858,0.8305001037644751,0.0,0.4004589997245659,0.0,0.910599624567981,-1.0,-0.920506094135798,-0.6332714969725155,,-0.22067077981946323,-1.6577671337134319,1.9323488539423455e-15
4,Bauchi,6289214.750634591,1257843,1257843,0,2871021,0,1054755.27,1342308.75,2871021,8038858.8,1673446.722556055,4685650.823156954,0.55,0.6,1.0,1.35,0.55,0.6,0.0,0.55,24881.13121909792,58132.65188851348,65151.68656424613,2.282495510170983,,1.2726257817133257,2.8,2.8,3504391,2470485,0,0,Bauchi,2831103,2100130,1.3713015140392735,0.985794881949077,1.8462559967549554,0.0,1.295137068912954,1.227991105317572,1.0,1.2279911053175718,70.4968423900187,,74.18062853947737,1.8966522051973413,,5.194859270616581,0.704968423900187,,1.3910617098437223,,0.814338145992832,1.0546795195051655,0.3106623843899169,,,-0.08384991403111935,0.48926853278441135,0.0
5,Bayelsa,2290827.137890524,458166,0,779244,1541891,291735,55943.25,0.0,1541891,4317294.8,0.0,0.0,0.875,0.0,1.875,0.25,0.875,0.0,0.875,0.0,9062.875554118014,21174.639732299212,23731.301534210263,inf,0.3743820934136163,0.0,,2.8,269994,266691,387572,163588,Bayelsa,269994,266691,0.0,0.1064174131240956,0.0,0.22204950103442933,0.0,0.447291984880279,,0.44729198488027877,98.77663948087735,42.20841546860971,98.77663948087735,0.0,0.0,21.969941992793157,,0.0,0.0,0.0,,-1.0,0.0,-0.6332714969725155,,4.461858732200977,-1.6577671337134319,
6,Benue,5674414.102368245,1134881,0,1161743,3285875,301336,1179738.27,1563858.75,3285875,9200450.0,3055336.894180312,8554943.303704873,0.6956521739130435,1.0,1.7826086956521738,1.6956521739130435,0.6956521739130435,1.0,0.782608695652174,0.7391304347826086,22448.88232800099,52449.90873478451,58782.79939414231,inf,0.25938266897239753,1.325598049811506,2.8,2.8,4307548,3178783,3059635,1541806,Benue,3205730,2515408,2.5036877794889993,1.268426245140826,2.1509832184772755,2.092801751912667,1.3490463555423544,1.1079491354455189,1.0,1.1079491354455184,73.79564893995378,50.3918277833794,78.46599682443625,2.6912637017704175,1.0143031937870264,4.9639362679931045,0.7379564893995377,0.26719723454433997,1.9738536545426255,1.0278007539469207,0.9025685096977751,1.2176067586350772,1.0349841175352705,-0.09981868540476416,,-0.1464253842701843,0.5786375763605683,0.0
7,Borno,5582893.072989462,361084,361084,0,1444337,0,681763.2,664057.5,1444337,4044143.6000000006,1240573.1488901526,3473604.8168924265,0.4375,0.48148148148148145,0.0,2.3333333333333335,0.25925925925925924,0.48148148148148145,0.0,0.1111111111111111,22086.8106176892,51603.95890602117,57834.70815277995,4.00000276943869,,0.9740295457425687,2.7999999999999994,2.8000000000000003,1787267,1343261,0,0,Borno,0,0,1.0165844029686761,0.5359999428945326,0.9133667210059563,0.0,0.9912590087632022,1.0900793354016718,0.9999999999999999,1.0900793354016713,75.15726525471572,,,2.585949280811716,,,0.7515726525471571,,1.896612894170974,,0.9173644225000568,0.9093457481220334,0.9389856022318981,,,,-0.014490527988440652,-1.9323488539423455e-15
8,Delta,5511880.253291605,1102375,0,3822032,2537224,1859506,352589.22000000003,187620.0,2537224,7104227.200000001,1859071.2920793747,5205399.6178222485,0.64,0.6,2.76,0.68,0.64,0.6,1.76,0.12,21805.87263811675,50947.57115479981,57099.06703470058,inf,0.4865228757896323,0.5321206360194449,2.8,2.8000000000000003,3601417,3016030,1311054,828254,Delta,2475343,1976371,1.5234110791656827,1.2034830965599366,0.2580587738187394,1.1242474229758308,0.5415332383998208,1.0762138347930799,1.0,1.0762138347930796,83.74564789359299,63.17466709990588,79.84230872246796,1.7259110876954966,0.22652471343331876,4.87836099598709,0.8374564789359299,0.13446617615007447,1.265835044563763,0.22953912861607437,0.9291833719943462,0.5031836805033636,0.1550246888852971,-0.5141352800989285,,-0.16961455479791873,-0.7600311292808083,0.0
9,Ebonyi,2923117.2043881505,584623,0,1237777,1804517,617623,459699.4600000001,482802.5,852442,3120776.7431714996,1059525.8815218748,2966672.4682612494,0.6923076923076923,0.8461538461538461,2.076923076923077,1.4615384615384615,0.6923076923076923,0.8461538461538461,1.0769230769230769,0.5384615384615384,11564.315358105021,27019.041583033082,30281.36634571683,inf,0.4989776025891578,1.0502568351940198,2.8,3.660984258367724,2116584,2070594,437982,434436,Ebonyi,1601246,1555806,0.8682256960505502,0.8262268209661129,0.6640625793978355,0.5896905459532077,1.0688346713420471,0.5707488246330313,1.0,0.5707488246330311,97.82715923393543,99.19037768675425,97.16220992901778,1.4327639644764978,1.111331703634137,3.1657505776243955,0.9782715923393543,0.4167014886039601,1.0508321371549374,1.1261204439430326,1.7520842038403852,1.8726883441753297,-0.11219121885362729,-0.048788449379461335,,-0.6336973921413495,0.11411185581081139,0.0
10,Edo,4328298.7395142345,865659,0,2491768,1216965,1276057,355217.70000000007,286187.5,1216965,3407501.9999999995,2034174.8413865794,6816509.955882421,0.3888888888888889,0.8888888888888888,2.4444444444444446,0.8333333333333334,0.3888888888888889,1.1666666666666667,1.4444444444444444,0.2222222222222222,17123.436416675613,40007.45623581772,44838.02414360222,inf,0.5121090727547669,0.8056679044991282,3.35099511467559,2.8,2511706,2517331,1640482,1419374,Edo,1158324,1117371,1.9949182676543278,1.0044877892283306,0.3936317840968472,1.926616185057841,0.8199192436172823,0.8451154180646218,1.1967839695269966,0.8451154180646215,100.22395137010463,86.52176616384696,96.4644607208346,2.7078322063655595,0.20162938027609353,4.138703259705147,1.1994641836239448,0.27883124015516064,1.9860054935927767,0.20431250767522727,1.4161189630970439,0.9701861143356719,1.0500870049409228,-0.5272284908360981,,-0.3700468640004472,-0.2985319593455248,2.3975245395642166
11,Ekiti,3205702.619693019,641141,0,723997,2564565,122715,466755.2400000001,430797.5,2213951,6588994.858691875,1182154.7749259372,3310033.3697926244,1.0,1.0,1.9375,1.25,1.0,1.0,0.9375,0.3125,12682.268087910323,29631.04327609522,33208.74553939318,inf,0.16949655868739788,0.9229623217513314,2.8000000000000003,2.976124972364734,2534126,2499455,1120454,429824,Ekiti,2534126,2499455,0.9687136201196828,0.9973547488294932,0.5925331767091907,0.5834303538928439,0.939288464281155,0.6259246121114024,1.0000000000000002,0.6259246121114022,98.63183598605593,38.361592711525866,98.63183598605593,1.3243020457630261,1.0022648805092318,3.662222307939881,0.9863183598605596,0.14162521870043546,0.9712829073672894,1.015602244133528,1.59763648952347,1.5006415247240348,-0.2110588104774887,-0.10614999945751408,,-0.4991635794334447,-0.10064558855197031,1.9323488539423455e-15
12,Enugu,4380703.677439814,876140,116634,759506,2947635,198406,466663.26000000007,191568.75,2947635,8253377.999999999,1304478.657298437,5211938.640435625,0.8235294117647058,0.8823529411764706,1.6470588235294117,1.1176470588235294,0.8235294117647058,1.7647058823529411,0.6470588235294118,0.17647058823529413,17330.7586641666,40491.847075446705,45380.90115218292,25.27251916250836,0.26123032602770746,0.41050746099017943,3.9954188681242977,2.8,3419088,3253540,504100,442068,Enugu,2875743,2732265,1.5253247880502083,1.298256447708284,0.2634900156006216,0.6000499964746075,0.4177688660982065,0.8553476648869835,1.4269353100443922,0.8553476648869833,95.1581240377551,87.69450505852014,95.0107502652358,1.6019285579509166,0.4333467928011075,4.099533903190211,1.357844872270568,0.1439969944574542,1.1749025323484825,0.4391134357947984,1.6682518332857463,0.4884199527842354,0.04200940882499807,-0.40536127602515115,,-0.3806609685939171,-0.9652036380070975,5.201581638475194
13,Federal Capital Territory,1889839.120719721,377968,0,545038,581848,293184,532767.76,699342.4,581848,1629174.4,469682.5083325152,1315111.0233310426,0.6666666666666666,1.0,1.3333333333333333,2.0,0.6666666666666666,1.0,0.3333333333333333,1.0,7476.503348986054,17468.215681299287,19577.357576724207,inf,0.5379147875927917,1.3126590092463553,2.8000000000000003,2.8,1474997,726818,98114,76042,Federal Capital Territory,567659,472971,0.3848800957405845,0.2900213781943482,0.9618987433293591,0.10321715625632732,1.335878438222988,0.36899767661627964,1.0000000000000002,0.3689976766162796,49.27589683233254,77.50372016226022,83.31956332939318,1.8094089900512131,9.19679124694248,4.674752574682168,0.4927589683233255,0.4069438260843971,1.3270749147418708,,2.7100441638820927,3.620289565162132,0.23113653172814996,4.203599941601776,,-0.2247883251154793,0.5568082358090667,1.9323488539423455e-15
14,Gombe,3165705.56072805,633142,633142,0,2169064,0,502237.17000000004,895903.4249999999,2169064,6073379.199999999,1729197.4208240623,4841752.778307373,0.9090909090909091,0.9090909090909091,1.0,1.4545454545454546,0.9090909090909091,0.9090909090909091,0.0,1.0,12524.033377864052,29261.341302547524,32794.405124492514,3.425872868961465,,1.7838254086211895,2.799999999999999,2.8,2470795,2350701,0,0,Gombe,2116161,2113088,1.4169862770575377,0.9379976056493269,1.232255299624288,0.0,1.8153792295986366,0.6181150469120444,0.9999999999999997,0.6181150469120442,95.13945916192966,,99.85478420592761,2.059705925299463,,3.9006625374806916,0.9513945916192963,,1.5106502069124492,,1.6178218035554415,2.936960099366354,0.4592926944842345,,,-0.43455109250958923,1.351708888341198,-3.864697707884691e-15
15,Imo,5292001.68963793,1058401,0,1252877,4233600,167779,127506.06000000001,318765.14999999997,4233600,11854080.0,1308923.4845399996,3664985.756711999,1.0,0.8148148148148148,2.037037037037037,0.2962962962962963,1.0,1.6296296296296295,1.037037037037037,0.2962962962962963,20935.998160705745,48915.18324860918,54821.28517649397,inf,0.13391498127908805,2.4999999999999996,2.8,2.8,4130339,3550410,0,0,Imo,4130339,3550410,1.0725939056904388,1.4167161536381814,0.43844016493522286,0.0,2.5442221262587523,1.0332817787061936,1.0,1.0332817787061934,85.95928808749113,,85.95928808749113,1.032271133956923,,4.531217521356688,0.8595928808749113,,0.7570986629438625,,0.9677902200618822,2.4622732914582675,-0.4772572446603016,,,-0.26368342588755833,2.5599606880648333,0.0
16,Jigawa,5848449.440669836,1169688,1169688,0,4678758,0,973731.7000000002,1086278.75,4678758,13100522.399999999,603231.0955756248,1689047.0676117497,1.0,0.6296296296296297,0.9629629629629629,1.4074074074074074,1.0,0.6296296296296297,0.0,0.48148148148148145,23137.393733753997,54058.557213001164,60585.678809411715,4.000005129573014,,1.1155832248246615,2.8000000000000003,2.8,4564646,4504331,4865654,2763568,Jigawa,4564646,4504331,0.49431613419692555,1.7973581893452373,1.4941038388783334,3.7511852671022066,1.1353166097127987,1.1419301419652477,1.0000000000000002,1.1419301419652472,98.67864890289411,56.79746237607524,98.67864890289411,0.37498289260086565,0.3930711131406935,3.9471522852117213,0.9867864890289414,0.25344918495743757,0.2750237193271981,0.3983017986292449,0.875710311209592,0.9942084616130132,-1.0764030664968949,-0.42654347744604226,,-0.4219533097312834,0.22432342822740536,1.9323488539423455e-15
